poster,recipient,relationship,tweet date,tweet id,tweet,hashtags,retweet status
johnny_boy0607,anuta_anuta31,mentions,tue oct 04 15:27:18 +0000 2016,783327644632903680,rt @anuta_anuta31: немного о соей самооценки и смене настроения: https://t.co/kuuusepa5b,[],True
emissmikaelson,godtitswine,reply,tue oct 04 15:28:50 +0000 2016,783328030508871680,@godtitswine @khaleesydaenery @roijoffreyoff tu marques 1 point mais c pas terminé !!,[],False
emissmikaelson,khaleesydaenery,mentions,tue oct 04 15:28:50 +0000 2016,783328030508871680,@godtitswine @khaleesydaenery @roijoffreyoff tu marques 1 point mais c pas terminé !!,[],False
emissmikaelson,roijoffreyoff,mentions,tue oct 04 15:28:50 +0000 2016,783328030508871680,@godtitswine @khaleesydaenery @roijoffreyoff tu marques 1 point mais c pas terminé !!,[],False
saucygit,saucygit,tweet,tue oct 04 15:32:59 +0000 2016,783329074873860096,looks like jj abrams is the *go to*producer for a horse budget. #westworld #gameofthrones,"['westworld', 'gameofthrones']",False
julieescurignan,comiccon_paris,mentions,tue oct 04 15:38:28 +0000 2016,783330454837559296,when @comiccon_paris refuses you a press pass. how am i supposed to cover the event for @dailyfandomtv now?… https://t.co/8m9tcriguf,[],False
julieescurignan,dailyfandomtv,mentions,tue oct 04 15:38:28 +0000 2016,783330454837559296,when @comiccon_paris refuses you a press pass. how am i supposed to cover the event for @dailyfandomtv now?… https://t.co/8m9tcriguf,[],False
ayamiri2,anissira,mentions,tue oct 04 15:40:25 +0000 2016,783330945533251584,rt @anissira: statistical analysis has revealed game of thrones’ true... https://t.co/yspcuyylhb #gameofthrones,['gameofthrones'],True
swiersum_602,swiersum_602,tweet,tue oct 04 15:40:57 +0000 2016,783331079788728320,but remember when cercei blew up the whole damn town and everyone in it #gameofthrones #respect,"['gameofthrones', 'respect']",False
talljesse,talljesse,tweet,tue oct 04 15:41:08 +0000 2016,783331125926256640,game of beards 🐲🐲🐲 #beardgang #gameofthrones #beardgoals https://t.co/xpnyz5dd4t,"['beardgang', 'gameofthrones', 'beardgoals']",False
mshari_rmd,mshari_rmd,tweet,tue oct 04 15:43:37 +0000 2016,783331750843940865,ما يقول من خاف قوماً:اللهم اكفنيهم بما شئت https://t.co/fppo5rp9cl,[],False
iirnz1,irxn2,reply,tue oct 04 15:44:57 +0000 2016,783332086400835588,@irxn2 مسائي يالزاحف,[],False
interstellraven,diaval_d,mentions,tue oct 04 15:46:56 +0000 2016,783332585522892801,rt @diaval_d: #trinitytuesday @gisy_angel @itsnotrevenge @suckerpunchgeek @fairygirl03 @justmehere1977 @batkat37 @chattygirl69… ,['trinitytuesday'],True
