poster,recipient,relationship,tweet date,tweet id,tweet,hashtags,retweet status
peggyarnol,peggyarnol,tweet,mon nov 21 03:52:11 +0000 2016,800547330365587457,game of thrones was 2015&amp;#39;s most pirated tv show #gameofthrones https://t.co/zvnkjjh4c0 #gameofthrones,"['gameofthrones', 'gameofthrones']",False
aeyaeyyyyy,minminnay,mentions,mon nov 21 04:01:30 +0000 2016,800549674947985408,rt @minminnay: ถ้าเป็นนี่คงหัวใจวาย ผช.คนนี้นั่งร้องคาราโอเกะเพลงกวังฮวามุนอยู่ดีๆ เจ้าของเพลงเดินเข้ามาร้องด้วย😂😂 (kyuobserver) https://t.…,[],True
saoc1978,madeinnato,mentions,mon nov 21 04:09:24 +0000 2016,800551663060692992,rt @madeinnato: @madeinnato pero la cadena es para que sufra y muera..después de eso hacemos el mambo!!!,[],True
saoc1978,madeinnato,mentions,mon nov 21 04:09:24 +0000 2016,800551663060692992,rt @madeinnato: @madeinnato pero la cadena es para que sufra y muera..después de eso hacemos el mambo!!!,[],True
ananasech,pain_and_lispin,reply,mon nov 21 04:11:17 +0000 2016,800552137038000128,"@pain_and_lispin @anisimovaarina ващета мы с ней поспорили, что до др Арины ни ни",[],False
ananasech,anisimovaarina,mentions,mon nov 21 04:11:17 +0000 2016,800552137038000128,"@pain_and_lispin @anisimovaarina ващета мы с ней поспорили, что до др Арины ни ни",[],False
doncafecortado,doncafecortado,tweet,mon nov 21 04:14:38 +0000 2016,800552980068048896,seeeee 🙊🙈 https://t.co/03gzcfkv35,[],False
got_truther,got_truther,tweet,mon nov 21 04:19:05 +0000 2016,800554099947118593,whhhyyyy does this exist?? why can't anyone make a proper sansa figurine??? https://t.co/jmzzpisone,[],False
kirkdmviking,vanjamsdmv,reply,mon nov 21 04:23:59 +0000 2016,800555333072523264,@vanjamsdmv bruh,[],False
lyricsjason86,lyricsjason86,tweet,mon nov 21 04:29:21 +0000 2016,800556683625975809,kirk put down the 10lbs weights and used a bow flex machine during the offseason he has a cannon for an arm now,[],False
_mindsi,minminnay,mentions,mon nov 21 04:36:21 +0000 2016,800558445262872576,rt @minminnay: ถ้าเป็นนี่คงหัวใจวาย ผช.คนนี้นั่งร้องคาราโอเกะเพลงกวังฮวามุนอยู่ดีๆ เจ้าของเพลงเดินเข้ามาร้องด้วย😂😂 (kyuobserver) https://t.…,[],True
mind_2001,minminnay,mentions,mon nov 21 04:52:21 +0000 2016,800562471773749248,rt @minminnay: ถ้าเป็นนี่คงหัวใจวาย ผช.คนนี้นั่งร้องคาราโอเกะเพลงกวังฮวามุนอยู่ดีๆ เจ้าของเพลงเดินเข้ามาร้องด้วย😂😂 (kyuobserver) https://t.…,[],True
hunterfodao,margenou,reply,mon nov 21 04:58:51 +0000 2016,800564107564826624,"@margenou então, esse tique aparece quando ele termina uma frase de efeito ou dura, e também quando alguém termina de dizer algo duro a ele",[],False
tanaponspcp,minminnay,mentions,mon nov 21 05:09:43 +0000 2016,800566842255249408,rt @minminnay: ถ้าเป็นนี่คงหัวใจวาย ผช.คนนี้นั่งร้องคาราโอเกะเพลงกวังฮวามุนอยู่ดีๆ เจ้าของเพลงเดินเข้ามาร้องด้วย😂😂 (kyuobserver) https://t.…,[],True
matt_l4,selenahq,mentions,mon nov 21 05:13:04 +0000 2016,800567685306138624,rt @selenahq: selena gomez on the #amas live snapchat story https://t.co/hdndk3s9r3,['amas'],True
fonfon_jj,minminnay,mentions,mon nov 21 05:18:34 +0000 2016,800569069434830848,rt @minminnay: ถ้าเป็นนี่คงหัวใจวาย ผช.คนนี้นั่งร้องคาราโอเกะเพลงกวังฮวามุนอยู่ดีๆ เจ้าของเพลงเดินเข้ามาร้องด้วย😂😂 (kyuobserver) https://t.…,[],True
nkny,nkny,tweet,mon nov 21 05:18:36 +0000 2016,800569077827850240,my first virtual reality experience! whoa! training to defend the wall! #gameofthrones #gotbehindthescenes https://t.co/vb8ltqmadf,"['gameofthrones', 'gotbehindthescenes']",False
