poster,recipient,relationship,tweet date,tweet id,tweet,hashtags,retweet status
marcelosureno,marcelosureno,tweet,mon jan 04 03:03:10 +0000 2016,683846102169292800,yo creo que fabián debería irse... es como el que menos nivel tiene de los 10 que están quedando! #mastercheftop10 #masterchefchile2,"['mastercheftop10', 'masterchefchile2']",False
paployhae,minminnay,mentions,mon jan 04 03:08:18 +0000 2016,683847394002259968,"rt @minminnay: #안녕하세요 
เยซอง: ตอนเดบิ้วใหม่ เวลาsjรวมตัวกันจะเสียงดังมากๆ
mc: ตอนนี้กลายเป็นexo/rvvแล้วใช่มั้ย
เยซอง: ป่าวครับ..ยังเป็นพวกเ…",['안녕하세요'],True
marcelosureno,marcelosureno,tweet,mon jan 04 03:17:59 +0000 2016,683849830909755392,😂😂😂 https://t.co/dhlfhp9cdt,[],False
eunnaahae,minminnay,mentions,mon jan 04 03:25:38 +0000 2016,683851756116119553,"rt @minminnay: #안녕하세요 
เยซอง: ตอนเดบิ้วใหม่ เวลาsjรวมตัวกันจะเสียงดังมากๆ
mc: ตอนนี้กลายเป็นexo/rvvแล้วใช่มั้ย
เยซอง: ป่าวครับ..ยังเป็นพวกเ…",['안녕하세요'],True
victhorelias,victhorelias,tweet,mon jan 04 03:49:04 +0000 2016,683857653274144768,"melhor q um ""eu te amo"" eh só um ""me depilei pra vc""",[],False
adriancolbert26,adriancolbert26,tweet,mon jan 04 03:53:04 +0000 2016,683858659915374592,"just found out oomf got me ""a song of fire and ice"" book series😍 #gameofthronesislife",['gameofthronesislife'],False
f_iftycent,f_iftycent,tweet,mon jan 04 04:07:44 +0000 2016,683862350923968512,lol https://t.co/rkhd3cf751,[],False
ksushavalikova,milkorna,mentions,mon jan 04 04:10:03 +0000 2016,683862933902876672,rt @milkorna: #сигнаотгэсси для @ksushavalikova 🌴✨ https://t.co/e6fugguu5h,['сигнаотгэсси'],True
ksushavalikova,ksushavalikova,mentions,mon jan 04 04:10:03 +0000 2016,683862933902876672,rt @milkorna: #сигнаотгэсси для @ksushavalikova 🌴✨ https://t.co/e6fugguu5h,['сигнаотгэсси'],True
marcelosureno,marcelosureno,tweet,mon jan 04 04:21:51 +0000 2016,683865903495299072,"somos dos... la semana pasada le dijeron a camila: su plato, ""comida vegetariana"". dejó la cagada! https://t.co/b3uqulpdcs",[],False
marcelosureno,rotadecampo,mentions,mon jan 04 04:26:07 +0000 2016,683866977211936768,rt @rotadecampo: leche te sigo extraÑando😢 #mastercheftop10,['mastercheftop10'],True
sharron_1922,denyssmith2000,reply,mon jan 04 04:47:09 +0000 2016,683872270440267776,@denyssmith2000 starting episode 9 now. s4 #gameofthrones,['gameofthrones'],False
jroe8,jroe8,tweet,mon jan 04 04:47:32 +0000 2016,683872366888382464,lets go! https://t.co/kh53ad9osx,[],False
calgryan,calgryan,tweet,mon jan 04 05:05:35 +0000 2016,683876909336244224,"when john snow says you is going to salvage the ruins, you do it. #gameofthrones #wordsofwisdom #nomercy","['gameofthrones', 'wordsofwisdom', 'nomercy']",False
mysticolive_,mini_kabu,mentions,mon jan 04 05:16:15 +0000 2016,683879593682448384,rt @mini_kabu: ฉากที่ถูกตัดออก #harrypotterforever การสนับสนุนที่แท้จริง มัลฟอยโยนไม้กายสิทธิ์ให้แฮร์รี่เพื่อให้สู้กับโวลเดอมอร์ https://t.…,['harrypotterforever'],True
chorariasaurabh,chorariasaurabh,tweet,mon jan 04 05:19:54 +0000 2016,683880512226590720,#gameofthrones  https://t.co/lpqwdd2fox,['gameofthrones'],False
akanyala,mini_kabu,mentions,mon jan 04 05:21:47 +0000 2016,683880986191376388,rt @mini_kabu: เล่นบ้าๆบอๆกับเพื่อนแบบนี้สนุกดีนะ ใครพลาดโดนรุม 55555 https://t.co/rexoefijv2,[],True
bkhancos,got_tyrion,mentions,mon jan 04 05:22:34 +0000 2016,683881183336349696,"rt @got_tyrion: random guy: ""for the watch""
kit harington: ... https://t.co/nyzgviwhrk",[],True
mizin_chik,mizin_chik,tweet,mon jan 04 05:29:06 +0000 2016,683882827499335680,Моя жизнь такая интересная и захватывающая,[],False
sirikunya_j,mini_kabu,mentions,mon jan 04 05:30:09 +0000 2016,683883091761311744,rt @mini_kabu: ฉากที่ถูกตัดออก #harrypotterforever การสนับสนุนที่แท้จริง มัลฟอยโยนไม้กายสิทธิ์ให้แฮร์รี่เพื่อให้สู้กับโวลเดอมอร์ https://t.…,['harrypotterforever'],True
mezasn,mezasn,tweet,mon jan 04 05:30:42 +0000 2016,683883230173466624,no dejes que los números te definan...,[],False
mizin_chik,mizin_chik,tweet,mon jan 04 05:33:03 +0000 2016,683883821532594178,Фигню сказал,[],False
cannkaramann,cannkaramann,tweet,mon jan 04 05:36:50 +0000 2016,683884773647859712,how to pay for nursing home costs: odds are high that someone in your family will need a nursing home sooner o... https://t.co/shgrvvgiq3,[],False
dianamsharpton,swensonmember,mentions,mon jan 04 05:39:43 +0000 2016,683885499283566592,"rt @swensonmember: retweeted the site: art online (@fantasysite):

#gameofthrones game of thrones daenerys targaryen version 3 pop!... http…",['gameofthrones'],True
dianamsharpton,fantasysite,mentions,mon jan 04 05:39:43 +0000 2016,683885499283566592,"rt @swensonmember: retweeted the site: art online (@fantasysite):

#gameofthrones game of thrones daenerys targaryen version 3 pop!... http…",['gameofthrones'],True
reesescrush,madmakny,mentions,mon jan 04 05:45:55 +0000 2016,683887059556261888,"rt @madmakny: die, billy, die. #xfrewatchessence https://t.co/j6ohnlqb84",['xfrewatchessence'],True
madmakny,buckupcamper,reply,mon jan 04 05:49:13 +0000 2016,683887890024284160,@buckupcamper lmao,[],False
tyrionspeaking,tyrionspeaking,tweet,mon jan 04 06:00:06 +0000 2016,683890628917374976,"""yes. all men must die, but we are not men."" - daenerys targaryen #gameofthrones",['gameofthrones'],False
nazarenodidiego,nazarenodidiego,tweet,mon jan 04 06:07:00 +0000 2016,683892365338243072,the king of the north.... #gameofthrones,['gameofthrones'],False
azizalzu_,yazann10,mentions,mon jan 04 06:11:52 +0000 2016,683893590104391681,"rt @yazann10: يخرب بيت السرعة والضغط وقطع الكرة .. الغزال .
https://t.co/8s51c8isvv",[],True
danboytellem,goesslingespn,mentions,mon jan 04 06:22:50 +0000 2016,683896349956308993,rt @goesslingespn: the vikings weren't buying into any of the talk about how losing in green bay and avoiding seattle in the first... https…,[],True
fanfdafrance,fanfdafrance,tweet,mon jan 04 06:29:44 +0000 2016,683898086381502464,les feux de l'amour (tf1) : résumé du lundi 4 janvier 2016 https://t.co/pvtmgv8pv4 #lesfeuxdelamour #yr,"['lesfeuxdelamour', 'yr']",False
shanmcknight,dreezydrea0,mentions,mon jan 04 06:52:12 +0000 2016,683903740298973184,"rt @dreezydrea0: love how @taylorswift13 traveled through, like, every #gameofthrones set in the #ootwmusicvideo","['gameofthrones', 'ootwmusicvideo']",True
shanmcknight,taylorswift13,mentions,mon jan 04 06:52:12 +0000 2016,683903740298973184,"rt @dreezydrea0: love how @taylorswift13 traveled through, like, every #gameofthrones set in the #ootwmusicvideo","['gameofthrones', 'ootwmusicvideo']",True
nnodtt,mini_kabu,mentions,mon jan 04 06:59:06 +0000 2016,683905476753395712,rt @mini_kabu: เล่นบ้าๆบอๆกับเพื่อนแบบนี้สนุกดีนะ ใครพลาดโดนรุม 55555 https://t.co/rexoefijv2,[],True
sopanbom93,mini_kabu,mentions,mon jan 04 06:59:46 +0000 2016,683905644500353028,rt @mini_kabu: บางคนครอบครัวซัพพอร์ตได้เต็มที่ แม้ว่าจะเรียนจบ ทำงานแล้วก็ตาม แต่บางคนต้องทำงานหาเงิน เลี้ยงตัวเองและครอบครัวไปด้วย แค่นี้…,[],True
tortmry2,tortmry2,tweet,mon jan 04 07:34:01 +0000 2016,683914263799447552,https://t.co/d0gcxcm1fh looking for new ebay tips check this article out https://t.co/siatb3zvfk,[],False
varych4,varych4,tweet,mon jan 04 07:51:03 +0000 2016,683918550386511872,spoiler alert https://t.co/og1iiqkwz1 #gameofthrones #televignette,"['gameofthrones', 'televignette']",False
mimzzis_,prince_mojo_,mentions,mon jan 04 08:01:39 +0000 2016,683921217968050176,rt @prince_mojo_: arrow girl #arrow #olicity #emilybetterickards https://t.co/uclnnxfg0e,"['arrow', 'olicity', 'emilybetterickards']",True
benzmyself,mini_kabu,mentions,mon jan 04 08:43:54 +0000 2016,683931850524344320,rt @mini_kabu: s'more (some more อร่อยจนต้องกินอีก) ขนมหวานประกอบด้วย marshmallow เนื้อนุ่มย่างไฟ ราดด้วยช็อกโกแลต ประกบด้วยบิสกิต https://…,[],True
hattayata,mini_kabu,mentions,mon jan 04 08:49:35 +0000 2016,683933280803004416,rt @mini_kabu: อย่าเล่นมือถือระหว่างเดิน หญิงสาวเสียชีวิตจากการพลัดตกบ่อน้ำ เหตุการณ์นี้ทำให้สื่อจีนช่วยเตือนผู้คนให้ระวังมากขึ้น https://t…,[],True
ppfumnn45,mini_kabu,mentions,mon jan 04 08:56:38 +0000 2016,683935054993555456,rt @mini_kabu: เล่นบ้าๆบอๆกับเพื่อนแบบนี้สนุกดีนะ ใครพลาดโดนรุม 55555 https://t.co/rexoefijv2,[],True
nestermor,hatepeopleyes,mentions,mon jan 04 08:57:16 +0000 2016,683935214339502080,rt @hatepeopleyes: Яндекс такой яндекс #неделякиллджоев https://t.co/ue14u7laa1,['неделякиллджоев'],True
asevenone,mini_kabu,mentions,mon jan 04 08:59:43 +0000 2016,683935830927228928,rt @mini_kabu: รับกระต่ายซักแก้วไหมคะ น่าจะนุ่มนิ่ม https://t.co/lwrad78h93,[],True
la__rosso,la__rosso,tweet,mon jan 04 09:02:26 +0000 2016,683936514590507008,"В моей жизни ничего не клеится, потому что Я - ЖИРНАЯ. И это действительно так. Ой, не надо тут мне завалить, что я хорошая и добрая.",[],False
